;Load_0;Load_1;Load_2;Load_3;Load_4;Load_5;Load_6;Load_7;Load_8;Load_9;Load_10;Load_11;Load_12
42;-29118.797699218747;-29118.797699218747;-29118.797699218747;-29118.797699218747;-29118.797699218747;-29118.797699218747;-29118.797699218747;-29118.797699218747;-29118.797699218747;-29118.797699218747;-29118.797699218747;-29118.797699218747;-29118.797699218747
43;-29431.72735807292;-29431.72735807292;-29431.72735807292;-29431.72735807292;-29431.72735807292;-29431.72735807292;-29431.72735807292;-29431.72735807292;-29431.72735807292;-29431.72735807292;-29431.72735807292;-29431.72735807292;-29431.72735807292
44;-30934.22275466817;-30934.22275466817;-30934.22275466817;-30934.22275466817;-30934.22275466817;-30934.22275466817;-30934.22275466817;-30934.22275466817;-30934.22275466817;-30934.22275466817;-30934.22275466817;-30934.22275466817;-30934.22275466817
45;-31495.67372971082;-31495.67372971082;-31495.67372971082;-31495.67372971082;-31495.67372971082;-31495.67372971082;-31495.67372971082;-31495.67372971082;-31495.67372971082;-31495.67372971082;-31495.67372971082;-31495.67372971082;-31495.67372971082
46;-30100.663447395837;-30100.663447395837;-30100.663447395837;-30100.663447395837;-30100.663447395837;-30100.663447395837;-30100.663447395837;-30100.663447395837;-30100.663447395837;-30100.663447395837;-30100.663447395837;-30100.663447395837;-30100.663447395837
47;-29463.77735815972;-29463.77735815972;-29463.77735815972;-29463.77735815972;-29463.77735815972;-29463.77735815972;-29463.77735815972;-29463.77735815972;-29463.77735815972;-29463.77735815972;-29463.77735815972;-29463.77735815972;-29463.77735815972
48;-29826.108882118053;-29826.108882118053;-29826.108882118053;-29826.108882118053;-29826.108882118053;-29826.108882118053;-29826.108882118053;-29826.108882118053;-29826.108882118053;-29826.108882118053;-29826.108882118053;-29826.108882118053;-29826.108882118053
49;-29812.564327864584;-29812.564327864584;-29812.564327864584;-29812.564327864584;-29812.564327864584;-29812.564327864584;-29812.564327864584;-29812.564327864584;-29812.564327864584;-29812.564327864584;-29812.564327864584;-29812.564327864584;-29812.564327864584
50;-28018.289351909723;-28018.289351909723;-28018.289351909723;-28018.289351909723;-28018.289351909723;-28018.289351909723;-28018.289351909723;-28018.289351909723;-28018.289351909723;-28018.289351909723;-28018.289351909723;-28018.289351909723;-28018.289351909723
51;-27426.43544175347;-27426.43544175347;-27426.43544175347;-27426.43544175347;-27426.43544175347;-27426.43544175347;-27426.43544175347;-27426.43544175347;-27426.43544175347;-27426.43544175347;-27426.43544175347;-27426.43544175347;-27426.43544175347
52;-27912.24289331597;-27912.24289331597;-27912.24289331597;-27912.24289331597;-27912.24289331597;-27912.24289331597;-27912.24289331597;-27912.24289331597;-27912.24289331597;-27912.24289331597;-27912.24289331597;-27912.24289331597;-27912.24289331597
53;-26870.62738046875;-26870.62738046875;-26870.62738046875;-26870.62738046875;-26870.62738046875;-26870.62738046875;-26870.62738046875;-26870.62738046875;-26870.62738046875;-26870.62738046875;-26870.62738046875;-26870.62738046875;-26870.62738046875
54;-23601.500141319448;-23601.500141319448;-23601.500141319448;-23601.500141319448;-23601.500141319448;-23601.500141319448;-23601.500141319448;-23601.500141319448;-23601.500141319448;-23601.500141319448;-23601.500141319448;-23601.500141319448;-23601.500141319448
55;-20753.6832663415;-20753.6832663415;-20753.6832663415;-20753.6832663415;-20753.6832663415;-20753.6832663415;-20753.6832663415;-20753.6832663415;-20753.6832663415;-20753.6832663415;-20753.6832663415;-20753.6832663415;-20753.6832663415
56;-20149.83650263636;-20149.83650263636;-20149.83650263636;-20149.83650263636;-20149.83650263636;-20149.83650263636;-20149.83650263636;-20149.83650263636;-20149.83650263636;-20149.83650263636;-20149.83650263636;-20149.83650263636;-20149.83650263636
57;-19343.01924192708;-19343.01924192708;-19343.01924192708;-19343.01924192708;-19343.01924192708;-19343.01924192708;-19343.01924192708;-19343.01924192708;-19343.01924192708;-19343.01924192708;-19343.01924192708;-19343.01924192708;-19343.01924192708
58;-16227.210966015626;-16227.210966015626;-16227.210966015626;-16227.210966015626;-16227.210966015626;-16227.210966015626;-16227.210966015626;-16227.210966015626;-16227.210966015626;-16227.210966015626;-16227.210966015626;-16227.210966015626;-16227.210966015626
59;-14127.278840581595;-14127.278840581595;-14127.278840581595;-14127.278840581595;-14127.278840581595;-14127.278840581595;-14127.278840581595;-14127.278840581595;-14127.278840581595;-14127.278840581595;-14127.278840581595;-14127.278840581595;-14127.278840581595
60;-13468.38177625868;-13468.38177625868;-13468.38177625868;-13468.38177625868;-13468.38177625868;-13468.38177625868;-13468.38177625868;-13468.38177625868;-13468.38177625868;-13468.38177625868;-13468.38177625868;-13468.38177625868;-13468.38177625868
61;-12072.342081684028;-12072.342081684028;-12072.342081684028;-12072.342081684028;-12072.342081684028;-12072.342081684028;-12072.342081684028;-12072.342081684028;-12072.342081684028;-12072.342081684028;-12072.342081684028;-12072.342081684028;-12072.342081684028
62;-8841.198114756944;-8841.198114756944;-8841.198114756944;-8841.198114756944;-8841.198114756944;-8841.198114756944;-8841.198114756944;-8841.198114756944;-8841.198114756944;-8841.198114756944;-8841.198114756944;-8841.198114756944;-8841.198114756944
63;-5580.330811523437;-5580.330811523437;-5580.330811523437;-5580.330811523437;-5580.330811523437;-5580.330811523437;-5580.330811523437;-5580.330811523437;-5580.330811523437;-5580.330811523437;-5580.330811523437;-5580.330811523437;-5580.330811523437
64;-3989.729479296875;-3989.729479296875;-3989.729479296875;-3989.729479296875;-3989.729479296875;-3989.729479296875;-3989.729479296875;-3989.729479296875;-3989.729479296875;-3989.729479296875;-3989.729479296875;-3989.729479296875;-3989.729479296875
65;-2902.802477897136;-2902.802477897136;-2902.802477897136;-2902.802477897136;-2902.802477897136;-2902.802477897136;-2902.802477897136;-2902.802477897136;-2902.802477897136;-2902.802477897136;-2902.802477897136;-2902.802477897136;-2902.802477897136
66;-409.0560930102053;-409.0560930102053;-409.0560930102053;-409.0560930102053;-409.0560930102053;-409.0560930102053;-409.0560930102053;-409.0560930102053;-409.0560930102053;-409.0560930102053;-409.0560930102053;-409.0560930102053;-409.0560930102053
67;396.4238615373577;396.4238615373577;396.4238615373577;396.4238615373577;396.4238615373577;396.4238615373577;396.4238615373577;396.4238615373577;396.4238615373577;396.4238615373577;396.4238615373577;396.4238615373577;396.4238615373577
68;474.6621688635932;474.6621688635932;474.6621688635932;474.6621688635932;474.6621688635932;474.6621688635932;474.6621688635932;474.6621688635932;474.6621688635932;474.6621688635932;474.6621688635932;474.6621688635932;474.6621688635932
69;367.3720975124783;367.3720975124783;367.3720975124783;367.3720975124783;367.3720975124783;367.3720975124783;367.3720975124783;367.3720975124783;367.3720975124783;367.3720975124783;367.3720975124783;367.3720975124783;367.3720975124783
70;315.3073025431315;315.3073025431315;315.3073025431315;315.3073025431315;315.3073025431315;315.3073025431315;315.3073025431315;315.3073025431315;315.3073025431315;315.3073025431315;315.3073025431315;315.3073025431315;315.3073025431315
71;230.9127171959771;230.9127171959771;230.9127171959771;230.9127171959771;230.9127171959771;230.9127171959771;230.9127171959771;230.9127171959771;230.9127171959771;230.9127171959771;230.9127171959771;230.9127171959771;230.9127171959771
72;218.35126744978163;218.35126744978163;218.35126744978163;218.35126744978163;218.35126744978163;218.35126744978163;218.35126744978163;218.35126744978163;218.35126744978163;218.35126744978163;218.35126744978163;218.35126744978163;218.35126744978163
73;159.35752053222657;159.35752053222657;159.35752053222657;159.35752053222657;159.35752053222657;159.35752053222657;159.35752053222657;159.35752053222657;159.35752053222657;159.35752053222657;159.35752053222657;159.35752053222657;159.35752053222657
74;624.141221289232;624.141221289232;624.141221289232;624.141221289232;624.141221289232;624.141221289232;624.141221289232;624.141221289232;624.141221289232;624.141221289232;624.141221289232;624.141221289232;624.141221289232
75;1257.3382168999565;1257.3382168999565;1257.3382168999565;1257.3382168999565;1257.3382168999565;1257.3382168999565;1257.3382168999565;1257.3382168999565;1257.3382168999565;1257.3382168999565;1257.3382168999565;1257.3382168999565;1257.3382168999565
76;504.3492453584459;504.3492453584459;504.3492453584459;504.3492453584459;504.3492453584459;504.3492453584459;504.3492453584459;504.3492453584459;504.3492453584459;504.3492453584459;504.3492453584459;504.3492453584459;504.3492453584459
77;32.291055555969514;32.291055555969514;32.291055555969514;32.291055555969514;32.291055555969514;32.291055555969514;32.291055555969514;32.291055555969514;32.291055555969514;32.291055555969514;32.291055555969514;32.291055555969514;32.291055555969514
78;9.233585491596209;9.233585491596209;9.233585491596209;9.233585491596209;9.233585491596209;9.233585491596209;9.233585491596209;9.233585491596209;9.233585491596209;9.233585491596209;9.233585491596209;9.233585491596209;9.233585491596209
79;1498.4016703618631;1498.4016703618631;1498.4016703618631;1498.4016703618631;1498.4016703618631;1498.4016703618631;1498.4016703618631;1498.4016703618631;1498.4016703618631;1498.4016703618631;1498.4016703618631;1498.4016703618631;1498.4016703618631
80;8854.221372265625;8854.221372265625;8854.221372265625;8854.221372265625;8854.221372265625;8854.221372265625;8854.221372265625;8854.221372265625;8854.221372265625;8854.221372265625;8854.221372265625;8854.221372265625;8854.221372265625
