;Load_0;Load_1;Load_2;Load_3;Load_4;Load_5;Load_6;Load_7;Load_8;Load_9;Load_10;Load_11;Load_12
18;6393.81184344618;6393.81184344618;6393.81184344618;6393.81184344618;6393.81184344618;6393.81184344618;6393.81184344618;6393.81184344618;6393.81184344618;6393.81184344618;6393.81184344618;6393.81184344618;6393.81184344618
19;6287.912559700521;6287.912559700521;6287.912559700521;6287.912559700521;6287.912559700521;6287.912559700521;6287.912559700521;6287.912559700521;6287.912559700521;6287.912559700521;6287.912559700521;6287.912559700521;6287.912559700521
20;4132.672465494791;4132.672465494791;4132.672465494791;4132.672465494791;4132.672465494791;4132.672465494791;4132.672465494791;4132.672465494791;4132.672465494791;4132.672465494791;4132.672465494791;4132.672465494791;4132.672465494791
21;2798.7319620876738;2798.7319620876738;2798.7319620876738;2798.7319620876738;2798.7319620876738;2798.7319620876738;2798.7319620876738;2798.7319620876738;2798.7319620876738;2798.7319620876738;2798.7319620876738;2798.7319620876738;2798.7319620876738
22;2782.337418279996;2782.337418279996;2782.337418279996;2782.337418279996;2782.337418279996;2782.337418279996;2782.337418279996;2782.337418279996;2782.337418279996;2782.337418279996;2782.337418279996;2782.337418279996;2782.337418279996
23;2214.566927203364;2214.566927203364;2214.566927203364;2214.566927203364;2214.566927203364;2214.566927203364;2214.566927203364;2214.566927203364;2214.566927203364;2214.566927203364;2214.566927203364;2214.566927203364;2214.566927203364
24;92.74835998374093;92.74835998374093;92.74835998374093;92.74835998374093;92.74835998374093;92.74835998374093;92.74835998374093;92.74835998374093;92.74835998374093;92.74835998374093;92.74835998374093;92.74835998374093;92.74835998374093
25;-1119.0891408365885;-1119.0891408365885;-1119.0891408365885;-1119.0891408365885;-1119.0891408365885;-1119.0891408365885;-1119.0891408365885;-1119.0891408365885;-1119.0891408365885;-1119.0891408365885;-1119.0891408365885;-1119.0891408365885;-1119.0891408365885
26;-1560.8267118245444;-1560.8267118245444;-1560.8267118245444;-1560.8267118245444;-1560.8267118245444;-1560.8267118245444;-1560.8267118245444;-1560.8267118245444;-1560.8267118245444;-1560.8267118245444;-1560.8267118245444;-1560.8267118245444;-1560.8267118245444
27;-2516.0623127604167;-2516.0623127604167;-2516.0623127604167;-2516.0623127604167;-2516.0623127604167;-2516.0623127604167;-2516.0623127604167;-2516.0623127604167;-2516.0623127604167;-2516.0623127604167;-2516.0623127604167;-2516.0623127604167;-2516.0623127604167
28;-726.6343523681641;-726.6343523681641;-726.6343523681641;-726.6343523681641;-726.6343523681641;-726.6343523681641;-726.6343523681641;-726.6343523681641;-726.6343523681641;-726.6343523681641;-726.6343523681641;-726.6343523681641;-726.6343523681641
29;-561.1238148844401;-561.1238148844401;-561.1238148844401;-561.1238148844401;-561.1238148844401;-561.1238148844401;-561.1238148844401;-561.1238148844401;-561.1238148844401;-561.1238148844401;-561.1238148844401;-561.1238148844401;-561.1238148844401
30;-592.660221851264;-592.660221851264;-592.660221851264;-592.660221851264;-592.660221851264;-592.660221851264;-592.660221851264;-592.660221851264;-592.660221851264;-592.660221851264;-592.660221851264;-592.660221851264;-592.660221851264
31;-542.001710780843;-542.001710780843;-542.001710780843;-542.001710780843;-542.001710780843;-542.001710780843;-542.001710780843;-542.001710780843;-542.001710780843;-542.001710780843;-542.001710780843;-542.001710780843;-542.001710780843
32;-595.2132115980361;-595.2132115980361;-595.2132115980361;-595.2132115980361;-595.2132115980361;-595.2132115980361;-595.2132115980361;-595.2132115980361;-595.2132115980361;-595.2132115980361;-595.2132115980361;-595.2132115980361;-595.2132115980361
