;Tariff_mean;Tariff_max_1;Tariff_min_1;Tariff_max_2;Tariff_min_2;Tariff_max_3;Tariff_min_3
234;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
235;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
236;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
237;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
238;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
239;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
240;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
241;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
242;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
243;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
244;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
245;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
246;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
247;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
248;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
249;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
250;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
251;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
252;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
253;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
254;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
255;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
256;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
257;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
258;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
259;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
260;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
261;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
262;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
263;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
264;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
265;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
266;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
267;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
268;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
269;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
270;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
271;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
272;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
273;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
274;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
275;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
276;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
