;Electricity_Price_mean
234;0.271987737
235;0.271987737
236;0.271987737
237;0.271987737
238;0.271987737
239;0.271987737
240;0.271987737
241;0.271987737
242;0.271987737
243;0.271987737
244;0.271987737
245;0.271987737
246;0.271987737
247;0.271987737
248;0.271987737
249;0.271987737
250;0.271987737
251;0.271987737
252;0.271987737
253;0.271987737
254;0.271987737
255;0.271987737
256;0.271987737
257;0.271987737
258;0.271987737
259;0.271987737
260;0.271987737
261;0.271987737
262;0.271987737
263;0.271987737
264;0.271987737
265;0.271987737
266;0.271987737
267;0.271987737
268;0.271987737
269;0.271987737
270;0.271987737
271;0.271987737
272;0.271987737
273;0.271987737
274;0.271987737
275;0.271987737
276;0.271987737
277;0.271987737
278;0.271987737
279;0.271987737
280;0.271987737
281;0.271987737
282;0.271987737
283;0.271987737
284;0.271987737
285;0.271987737
286;0.271987737
287;0.271987737
288;0.271987737
289;0.271987737
290;0.271987737
291;0.271987737
292;0.271987737
293;0.271987737
294;0.271987737
295;0.271987737
296;0.271987737
297;0.271987737
298;0.271987737
299;0.271987737
300;0.271987737
301;0.271987737
302;0.271987737
303;0.271987737
304;0.271987737
305;0.271987737
306;0.271987737
307;0.271987737
308;0.271987737
309;0.271987737
310;0.271987737
311;0.271987737
312;0.271987737
313;0.271987737
314;0.271987737
315;0.271987737
316;0.271987737
317;0.271987737
318;0.271987737
319;0.271987737
320;0.271987737
321;0.271987737
322;0.271987737
323;0.271987737
324;0.271987737
325;0.271987737
326;0.271987737
327;0.271987737
328;0.271987737
329;0.271987737
330;0.271987737
331;0.271987737
332;0.271987737
333;0.271987737
334;0.271987737
335;0.271987737
336;0.271987737
337;0.271987737
338;0.271987737
339;0.271987737
340;0.271987737
341;0.271987737
342;0.271987737
343;0.271987737
344;0.271987737
345;0.271987737
346;0.271987737
347;0.271987737
348;0.271987737
349;0.271987737
350;0.271987737
351;0.271987737
352;0.271987737
353;0.271987737
354;0.271987737
355;0.271987737
356;0.271987737
357;0.271987737
358;0.271987737
359;0.271987737
360;0.271987737
361;0.271987737
362;0.271987737
363;0.271987737
364;0.271987737
365;0.271987737
366;0.271987737
367;0.271987737
368;0.271987737
369;0.271987737
370;0.271987737
371;0.271987737
372;0.271987737
373;0.271987737
374;0.271987737
375;0.271987737
376;0.271987737
377;0.271987737
378;0.271987737
379;0.271987737
380;0.271987737
381;0.271987737
382;0.271987737
383;0.271987737
384;0.271987737
385;0.271987737
386;0.271987737
387;0.271987737
388;0.271987737
389;0.271987737
390;0.271987737
391;0.271987737
392;0.271987737
393;0.271987737
394;0.271987737
395;0.271987737
396;0.271987737
397;0.271987737
398;0.271987737
399;0.271987737
400;0.271987737
401;0.271987737
402;0.271987737
403;0.271987737
404;0.271987737
405;0.271987737
406;0.271987737
407;0.271987737
408;0.271987737
409;0.271987737
410;0.271987737
411;0.271987737
412;0.271987737
413;0.271987737
414;0.271987737
415;0.271987737
416;0.271987737
417;0.271987737
418;0.271987737
419;0.271987737
420;0.271987737
421;0.271987737
422;0.271987737
423;0.271987737
424;0.271987737
425;0.271987737
426;0.271987737
427;0.271987737
428;0.271987737
429;0.271987737
430;0.271987737
431;0.271987737
432;0.271987737
433;0.271987737
434;0.271987737
435;0.271987737
436;0.271987737
437;0.271987737
438;0.271987737
439;0.271987737
440;0.271987737
441;0.271987737
442;0.271987737
443;0.271987737
444;0.271987737
445;0.271987737
446;0.271987737
447;0.271987737
448;0.271987737
449;0.271987737
450;0.271987737
451;0.271987737
452;0.271987737
453;0.271987737
454;0.271987737
455;0.271987737
456;0.271987737
457;0.271987737
458;0.271987737
459;0.271987737
460;0.271987737
461;0.271987737
462;0.271987737
463;0.271987737
464;0.271987737
465;0.271987737
466;0.271987737
467;0.271987737
468;0.271987737
469;0.271987737
470;0.271987737
471;0.271987737
